Unnamed: 0,year,month,day,country,title,text,clean-text,hazard,clean-title,product
176,2015,10,28,au,Vihenti Co Pty Ltd—Fresh Frozen Young Coconut Juice,PRA No. 2015/14998 Date published 28 Oct 2015 Product description Fresh Frozen Young Coconut Juice Identifying features All best before dates up to and including 15-01-2016 What are the defects? The recall is due to the presence of an undeclared allergen (dairy). What are the hazards? Consumers who have a dairy allergy or intolerance may have a reaction if the product is consumed. What should consumers do? Consumers who have a dairy allergy or intolerance should not consume this product and should return the products to the place of purchase for full refund. For further information please contact: Vihenti Co Pty Ltd 08 9375 3388 www.vihenthi.com.au Supplier Vihenti Co Pty Ltd Traders who sold this product Asian grocery stores Where the product was sold Western Australia Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Groceries × Close,pra 201514998 date published 28 oct 2015 product description fresh frozen young coconut juice identifying features best dates including 15012016 defects recall presence undeclared allergen dairy hazards consumers dairy allergy intolerance reaction product consumed consumers consumers dairy allergy intolerance consume product return products place purchase refund information contact vihenti pty 08 9375 3388 wwwvihenthicomau supplier vihenti pty traders sold product asian grocery stores product sold western australia coordinating agency food standards australia new zealand coordinating agency recall product category groceries close,milk and products thereof,vihenti pty ltdfresh frozen young coconut juice,coconut juice
177,2015,10,29,uk,Spar recalls its Chicken Bites Snack Bags containing mould,"Spar has recalled its ready-to-eat Chicken Bites Snack Bags because mould has been found in the product. The mould has resulted in spoilage of the product, which is therefore unfit for human consumption.
Mould does not usually cause food poisoning. However, we would advise against consuming visibly mouldy foods as some species can produce mycotoxins.
Product name: Spar Chicken Bites Snack Bags Pack size: 56g ‘Use by’ date: all dates between 29 October 2015 and 5 November 2015, inclusive Barcode: 5010358235318 No other Spar products are known to be affected.
Spar has recalled and displayed point-of-sale recall notices in stores. These notices explain to customers why the product is being recalled and tell them what actions to take if they have bought the product. A copy of the point-of-sale recall notice can be found below.
If you have bought this product, do not eat it. Instead, return it to the store from where it was bought for a full refund.
If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Get food alerts Subscribe to get alerts by email or SMS text Ref: 52/2015",spar recalled readytoeat chicken bites snack bags mould product mould resulted spoilage product unfit human consumption mould does usually cause food poisoning advise consuming visibly mouldy foods species produce mycotoxins product spar chicken bites snack bags pack size 56g use date dates 29 october 2015 5 november 2015 inclusive barcode 5010358235318 spar products known affected spar recalled displayed pointofsale recall notices stores notices explain customers product recalled tell actions bought product copy pointofsale recall notice bought product eat instead return store bought refund problem food product means sold withdrawn taken shelves recalled customers asked return product fsa issues product withdrawal information notices product recall information notices let consumers local authorities know problems associated food cases food alert action issued provides local authorities details specific action taken behalf consumers food alerts subscribe alerts email sms text ref 522015,moulds,spar recalls chicken bites snack bags containing mould,chicken preparations
178,2015,11,5,au,Nutty Bruce Organic Coconut Milk,"Soulfresh Group Pty Ltd has recalled Nutty Bruce Organic Coconut Milk 1L from independent retailers and café’s nationally due to the presence of an undeclared allergen (dairy). Consumers who have a dairy allergy or intolerance should not consume this product and may have a reaction if the product is consumed. The product can be returned to the place of purchase for a full refund.
05/11/2015
Coconut Milk
Nutty Bruce Organic Coconut Milk 1L
Coconut Milk 1L
Best Before: 29/11/2015
Australia
The presence of an undeclared allergen (dairy) 
Independent retailers and café’s nationally
Consumers who have a dairy allergy or intolerance should not consume this product and may have a reaction if the product is consumed. The product can be returned to the place of purchase for a full refund.
Soulfresh Group Pty Ltd
1300 458 423
www.Soulfresh.com.au
 ",soulfresh group pty recalled nutty bruce organic coconut milk 1l independent retailers cafés nationally presence undeclared allergen dairy consumers dairy allergy intolerance consume product reaction product consumed product returned place purchase refund 05112015 coconut milk nutty bruce organic coconut milk 1l coconut milk 1l best 29112015 australia presence undeclared allergen dairy independent retailers cafés nationally consumers dairy allergy intolerance consume product reaction product consumed product returned place purchase refund soulfresh group pty 1300 458 423 wwwsoulfreshcomau,milk and products thereof,nutty bruce organic coconut milk,coconuts
179,2015,11,17,us,Tyson Foods Inc. Recalls Chicken Product Due To Possible Adulteration,"WASHINGTON, Nov. 17, 2015 – Tyson Foods Inc., a Pine Bluff, Ark. establishment, is recalling approximately 52,486 pounds of chicken wing product that may be adulterated because of having an “off odor” scent, the U.S. Department of Agriculture’s Food Safety and Inspection Service (FSIS) announced today.

The fully cooked buffalo style chicken wing section item was produced on October 24, 2015 and October 25, 2015. The following product is subject to recall: [Labels (PDF Only)]

28-oz. retail bags containing multiple pieces of “Tyson® Any’tizers® Fully Cooked Hot Wings® CHICKEN WING SECTIONS COATED WITH A FLAVORFUL HOT, TANGY SAUCE” with use by/sell by dates of October 24, 2016 and October 25, 2016, packaging dates 2975PBF0508-23/2985PBF0500-01 and case codes 2975PBF0508-23/2985PBF0500-01.
The product subject to recall bear establishment number “P-13456” inside the USDA mark of inspection as well as on the back of the bag above the heating instructions. These items were shipped to retail locations nationwide.

The problem was discovered when Tyson Foods Inc. received consumer complaints about the product being “off-odor” as well mild illness associated with consumption. After these consumer complaints, Tysons Food Inc. brought this to the attention of FSIS.

There have been no confirmed reports of adverse reactions due to consumption of these products by FSIS. Anyone concerned about an injury or illness should contact a healthcare provider.

Consumers who have purchased these products are urged not to consume them. These products should be thrown away or returned to the place of purchase.

FSIS routinely conducts recall effectiveness checks to verify recalling firms notify their customers of the recall and that steps are taken to make certain that the product is no longer available to consumers.

Media with questions about the recall can contact Derek Burleson, Public Relations Manager, (479) 290-6466. Consumers with questions about the recall can contact Tyson Foods’ Consumer Relations, (toll free) 866-328-3156.

Consumers with food safety questions can ""Ask Karen,"" the FSIS virtual representative available 24 hours a day at AskKaren.gov or via smartphone at m.askkaren.gov.The toll-free USDA Meat and Poultry Hotline 1-888-MPHotline (1-888-674-6854) is available in English and Spanish and can be reached from 10 a.m. to 4 p.m. (Eastern Time) Monday through Friday. Recorded food safety messages are available 24 hours a day. The online Electronic Consumer Complaint Monitoring System can be accessed 24 hours a day at: http://www.fsis.usda.gov/reportproblem.",washington nov 17 2015 tyson foods pine bluff ark establishment recalling approximately 52486 pounds chicken wing product adulterated having odor scent department agricultures food safety inspection service fsis announced today fully cooked buffalo style chicken wing section item produced october 24 2015 october 25 2015 following product subject recall labels pdf 28oz retail bags containing multiple pieces tyson anytizers fully cooked hot wings chicken wing sections coated flavorful hot tangy sauce use bysell dates october 24 2016 october 25 2016 packaging dates 2975pbf0508232985pbf050001 case codes 2975pbf0508232985pbf050001 product subject recall bear establishment number p13456 inside usda mark inspection bag heating instructions items shipped retail locations nationwide problem discovered tyson foods received consumer complaints product offodor mild illness associated consumption consumer complaints tysons food brought attention fsis confirmed reports adverse reactions consumption products fsis concerned injury illness contact healthcare provider consumers purchased products urged consume products thrown away returned place purchase fsis routinely conducts recall effectiveness checks verify recalling firms notify customers recall steps taken make certain product longer available consumers media questions recall contact derek burleson public relations manager 479 2906466 consumers questions recall contact tyson foods consumer relations toll free 8663283156 consumers food safety questions ask karen fsis virtual representative available 24 hours day askkarengov smartphone maskkarengovthe tollfree usda meat poultry hotline 1888mphotline 18886746854 available english spanish reached 10 4 pm eastern time monday friday recorded food safety messages available 24 hours day online electronic consumer complaint monitoring accessed 24 hours day httpwwwfsisusdagovreportproblem,soybeans and products thereof,tyson foods recalls chicken product possible adulteration,chicken based products
180,2015,11,23,au,Buderim Group Limited—Original Ginger Marmalade,"PRA No. 2015/15059 Date published 23 Nov 2015 Product description Ginger Marmalade Identifying features Package size 365g Best Before 18/07/2018 APN/EAN 9310371293071 What are the defects? There is a potential for glass fragments to be present in the product. What are the hazards? Food products containing glass may cause illness/injury if consumed. What should consumers do? Consumers - return product to place of purchase for a full refund. Supplier Buderim Group Limited Traders who sold this product Woolworths, Coles, IGA, Thomas Dux Where the product was sold Nationally Recall advertisements and supporting documentation ginger marmalade recall notice 2.pdf (720.76 KB) Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Groceries × ginger marmalade Close",pra 201515059 date published 23 nov 2015 product description ginger marmalade identifying features package size 365g best 18072018 apnean 9310371293071 defects potential glass fragments present product hazards food products containing glass cause illnessinjury consumed consumers consumers return product place purchase refund supplier buderim group limited traders sold product woolworths coles iga thomas dux product sold nationally recall advertisements supporting documentation ginger marmalade recall notice 2pdf 72076 kb coordinating agency food standards australia new zealand coordinating agency recall product category groceries ginger marmalade close,glass fragment,buderim group limitedoriginal ginger marmalade,jam
181,2015,12,21,us,2015 - The Swinomish Fish Company Voluntarily Recalls Native Catch Salmon Bacon Because of a Possible Health Risk,"The Swinomish Fish Company is initiating a voluntary recall of packages of both Traditional and Peppered flavors of NATIVE CATCH SALMON BACON with a ""BEST BY"" date of 1/23/16 and 3/16/16 distributed in the Western Washington and Florida areas. The Native Catch Salmon Bacon has the potential to be contaminated with Clostridium botulinum, a bacterium which can cause life-threatening illness or death. Consumers are warned to not use the product even if it does not look or smell spoiled.
Botulism, a potentially fatal form of food poisoning, can cause the following symptoms: general weakness, dizziness, double-vision and trouble with speaking or swallowing. Difficulty in breathing, weakness of other muscles, abdominal distension and constipation may also be common symptoms. People experiencing these problems should seek immediate medical attention.

No illnesses or reactions have been reported to date and no other Native Catch products are involved in this recall. The potential for contamination was noted after a routine Washington State Department of Agriculture (WSDA) inspection discovered that the product had potentially been under processed.

The Native Catch Salmon Bacon products subject to this recall are:

Peppered flavor with UPC: 7 83583 27965 9, packaged in 8 oz. and 14 oz. clear vacuum bag with Best By codes 1/23/16 and 3/16/16.
Traditional flavor with UPC: 7 51778 15900 0, packaged in 8 oz. and 14 oz. clear vacuum bags with BEST BY codes 1/23/16 and 3/16/16.
Recalled products were shipped to locations in the states of Washington and Florida between the dates of August 10, 2015 through December 11, 2015 This recall is being made with the knowledge of the WSDA and the Food and Drug Administration (FDA).
All retail outlets that sell these products are being notified to remove the product with affected date code from their shelves and warehouses immediately. Consumers are urged to dispose of the products or return to the stores where it was purchased.

Consumers may contact Swinomish Fish Company at 1-360-466-0176 weekdays from 8:30 AM to 4:30 PM Pacific Time for a replacement or full refund, as well as with general inquires.",swinomish fish company initiating voluntary recall packages traditional peppered flavors native catch salmon bacon best date 12316 31616 distributed western washington florida areas native catch salmon bacon potential contaminated clostridium botulinum bacterium cause lifethreatening illness death consumers warned use product does look smell spoiled botulism potentially fatal form food poisoning cause following symptoms general weakness dizziness doublevision trouble speaking swallowing difficulty breathing weakness muscles abdominal distension constipation common symptoms people experiencing problems seek immediate medical attention illnesses reactions reported date native catch products involved recall potential contamination noted routine washington state department agriculture wsda inspection discovered product potentially processed native catch salmon bacon products subject recall peppered flavor upc 7 83583 27965 9 packaged 8 oz 14 oz clear vacuum bag best codes 12316 31616 traditional flavor upc 7 51778 15900 0 packaged 8 oz 14 oz clear vacuum bags best codes 12316 31616 recalled products shipped locations states washington florida dates august 10 2015 december 11 2015 recall knowledge wsda food drug administration fda retail outlets sell products notified remove product affected date code shelves warehouses immediately consumers urged dispose products return stores purchased consumers contact swinomish fish company 13604660176 weekdays 830 430 pm pacific time replacement refund general inquires,clostridium botulinum,2015 swinomish fish company voluntarily recalls native catch salmon bacon possible health risk,salmon
182,2015,12,24,uk,Sevre & Belle Le Chevrot Au Lait Cru cheese sold by Harrods is recalled because it contains E.coli (STEC),"Harrods is recalling Sevre & Belle brand Le Chevrot Au Lait Cru 200g cheese with a ‘use by’ date of 4 January 2016 because it contains E.coli (STEC). This type of bacteria can cause food poisoning. If you have bought this product, do not eat it.
Harrods is recalling Le Chevrot cheese because it contains E.coli (STEC), a type of bacteria that is potentially harmful to health.
Product: Sevre & Belle, Le Chevrot Au Lait Cru Pack size: 200g 'Use by' date: 4 January 2016 Lot Number: 152932110 No other products sold by Harrods are known to be affected.
Harrods is recalling the above product and, where possible, is contacting customers who have bought it.  Point-of-sale recall notices are also being displayed in stores. These notices explain to customers why the product is being recalled and tell them what actions to take if they have bought the product. A copy of the point-of-sale recall notice is attached to this notice.
If you have bought this product with the lot number above, do not eat it. Instead, return it to the store from where it was bought for a full refund.
If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Get food alerts Subscribe to get alerts by email or SMS text Ref: 59/2015",harrods recalling sevre belle brand le chevrot au lait cru 200g cheese use date 4 january 2016 contains ecoli stec type bacteria cause food poisoning bought product eat harrods recalling le chevrot cheese contains ecoli stec type bacteria potentially harmful health product sevre belle le chevrot au lait cru pack size 200g use date 4 january 2016 lot number 152932110 products sold harrods known affected harrods recalling product possible contacting customers bought pointofsale recall notices displayed stores notices explain customers product recalled tell actions bought product copy pointofsale recall notice attached notice bought product lot number eat instead return store bought refund problem food product means sold withdrawn taken shelves recalled customers asked return product fsa issues product withdrawal information notices product recall information notices let consumers local authorities know problems associated food cases food alert action issued provides local authorities details specific action taken behalf consumers food alerts subscribe alerts email sms text ref 592015,escherichia coli,sevre belle le chevrot au lait cru cheese sold harrods recalled contains ecoli stec,cow milk cheese
183,2016,1,27,au,Lion-Dairy & Drinks Pty Ltd —Pura HiLo White Milk,PRA No. 2016/15164 Date published 27 Jan 2016 Product description Pura HiLo White Milk 600ml with a use by date of 7/02/16 Pura HiLo White Milk 1 litre with a use by date of 7/02/16 No other Pura branded products are affected by the recall. Identifying features Pura HiLo 600ml - 9310078029300 Pura HiLo 1L- 9310078029003 What are the defects? Detection of microbial contamination (coliforms). What are the hazards? Consumption of the food products may cause gastrointestinal symptoms. What should consumers do? Consumers should not consume the product and should dispose of it and contact the Lion Consumer Enquiry Centre on 1800 677 852 to arrange a full refund of the purchase price. Supplier Lion-Dairy & Drinks Pty Ltd (ABN 65 004 486 631) Traders who sold this product Independent grocery stores and convenience outlets Where the product was sold Western Australia Dates available for sale 24 January 2016 - 26 January 2016 Recall advertisements and supporting documentation Recall Notice Pura HiLo.pdf (113.24 KB) Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Chilled and frozen Eggs and dairy × Pura_HILO-600mL_2D_HR Pura_HILO_1L_HR Close,pra 201615164 date published 27 jan 2016 product description pura hilo white milk 600ml use date 70216 pura hilo white milk 1 litre use date 70216 pura branded products affected recall identifying features pura hilo 600ml 9310078029300 pura hilo 1l 9310078029003 defects detection microbial contamination coliforms hazards consumption food products cause gastrointestinal symptoms consumers consumers consume product dispose contact lion consumer enquiry centre 1800 677 852 arrange refund purchase price supplier liondairy drinks pty abn 65 004 486 631 traders sold product independent grocery stores convenience outlets product sold western australia dates available sale 24 january 2016 26 january 2016 recall advertisements supporting documentation recall notice pura hilopdf 11324 kb coordinating agency food standards australia new zealand coordinating agency recall product category chilled frozen eggs dairy pura_hilo600ml_2d_hr pura_hilo_1l_hr close,microbiological contamination,liondairy drinks pty pura hilo white milk,milk
184,2016,1,29,uk,"easy eats uk ltd recalls chicken tikka sandwiches, chicken tikka wraps and chicken tikka fillers and fillings","As a precautionary measure, Easy Eats UK Ltd is recalling various Snacksters, Snax on the Go and Best In Chicken Tikka products due to the possible presence of salmonella in the tikka powder ingredient used to manufacture these products. Salmonella is a bacterium that can cause food poisoning.
Presence of salmonella in the products listed below.
The following products are being recalled: Snax on the Go Chicken Tikka Filler & Fillings ‘Use by’ date: 8 February 2016 Easy Eats UK Ltd Snax on the Go Mixed Case (includes Chicken Tikka Sandwiches)‘Use by’ date: 15 February 2016 Snacksters Chicken Tikka Sandwiches ‘Use by’ dates: 15 February 2016 Snacksters Chicken Tikka Wraps ‘Use by’ date: 8 February 2016 Snacksters Mixed case (includes Chicken Tikka Sandwiches) ‘Use by’ date: 15 February 2016 Best In Chicken Tikka Sandwiches ‘Use by’ date: 15 February 2016
Easy Eats UK Ltd has recalled the above products. Point-of-sale recall notices will be displayed in stores selling these products. These notices explain to customers why the product is being recalled and tell them what actions to take if they have bought the product. A copy of the point-of-sale recall notice can be found below.
If you have bought one of these products, do not eat it. Instead, return it to the store from where it was bought for a full refund.
If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Get food alerts Subscribe to get alerts by email or SMS text Ref: 05/2016",precautionary measure easy eats uk recalling various snacksters snax best chicken tikka products possible presence salmonella tikka powder ingredient used manufacture products salmonella bacterium cause food poisoning presence salmonella products listed following products recalled snax chicken tikka filler fillings use date 8 february 2016 easy eats uk snax mixed case includes chicken tikka sandwichesuse date 15 february 2016 snacksters chicken tikka sandwiches use dates 15 february 2016 snacksters chicken tikka wraps use date 8 february 2016 snacksters mixed case includes chicken tikka sandwiches use date 15 february 2016 best chicken tikka sandwiches use date 15 february 2016 easy eats uk recalled products pointofsale recall notices displayed stores selling products notices explain customers product recalled tell actions bought product copy pointofsale recall notice bought products eat instead return store bought refund problem food product means sold withdrawn taken shelves recalled customers asked return product fsa issues product withdrawal information notices product recall information notices let consumers local authorities know problems associated food cases food alert action issued provides local authorities details specific action taken behalf consumers food alerts subscribe alerts email sms text ref 052016,salmonella,easy eats uk recalls chicken tikka sandwiches chicken tikka wraps chicken tikka fillers fillings,chicken based products
185,2016,2,3,uk,kettle foods ltd recalls kettle chips products that possibly contain pieces of plastic,"Kettle Foods Ltd is recalling bags of Kettle Chips with a 'best before' date of 28 May 2016 because the products may contain pieces of plastic. This means these products are a possible risk to health.
Kettle Chips may contain pieces of plastic.
The following products with a 'best before' date of 28 May 2016 are being recalled: Kettle Chips Lightly Salted 150g Kettle Chips Sea Salt & Balsamic Vinegar 40g Kettle Chips Mature Cheddar & Red Onion 40g Kettle Chips Lightly Salted Multipack (5 x 30g) Kettle Chips Lightly Salted 30g ​​No other products are known to be affected.
Kettle Foods Ltd is recalling the above products. Point-of-sale notices will be displayed in stores selling these products. These notices explain to customers why the products are being recalled. A copy of the point-of-sale recall notice can be found at the link below.
If you have bought one of the above products, do not eat it. Instead, post the empty pack, together with your name and address to Kettle Foods Ltd at: Kettle Foods Ltd Barnard Road Norwich NR5 9JP
If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Get food alerts Subscribe to get alerts by email or SMS text Ref: 08/2016",kettle foods recalling bags kettle chips best date 28 2016 products contain pieces plastic means products possible risk health kettle chips contain pieces plastic following products best date 28 2016 recalled kettle chips lightly salted 150g kettle chips sea salt balsamic vinegar 40g kettle chips mature cheddar red onion 40g kettle chips lightly salted multipack 5 x 30g kettle chips lightly salted 30g products known affected kettle foods recalling products pointofsale notices displayed stores selling products notices explain customers products recalled copy pointofsale recall notice link bought products eat instead post pack address kettle foods kettle foods barnard road norwich nr5 9jp problem food product means sold withdrawn taken shelves recalled customers asked return product fsa issues product withdrawal information notices product recall information notices let consumers local authorities know problems associated food cases food alert action issued provides local authorities details specific action taken behalf consumers food alerts subscribe alerts email sms text ref 082016,rubber fragments,kettle foods recalls kettle chips products possibly contain pieces plastic,potato chips
186,2016,2,5,us,Marin Pasta Works Recalls Pork Products Produced Without Benefit of Inspection,"WASHINGTON, Feb. 5, 2016 – Marin Pasta Works, a San Rafael, Calif. establishment, is recalling approximately 491 pounds of pork ravioli products that were produced without the benefit of federal inspection, the U.S. Department of Agriculture’s Food Safety and Inspection Service (FSIS) announced today.

The sausage, parmesan and spinach ravioli items were produced between Jan. 4, 2016 to Feb. 4, 2016. The following products are subject to recall: [View Label]

12-oz.vacuum-packaged packages containing pieces of “Sausage, Parm and Spinach Ravioli” with Best By Dates of Feb. 4 to March 4, 2016.
These items were distributed to retail locations in California.

The problem was discovered during FSIS surveillance activities conducted at a retail store in San Rafael, California.

There have been no confirmed reports of adverse reactions due to consumption of these products. Anyone concerned about a reaction should contact a healthcare provider.

Consumers who have purchased these products are urged not to consume them. These products should be thrown away or returned to the place of purchase.

FSIS routinely conducts recall effectiveness checks to verify recalling firms notify their customers of the recall and that steps are taken to make certain that the product is no longer available to consumers. When available, the retail distribution list(s) will be posted on the FSIS website at www.fsis.usda.gov/recalls.

Consumers and members of the media with questions about the recall can contact John Sarrran, Owner of Marin Pasta Works, at (877) 263-2332 ext 310.

Consumers with food safety questions can ""Ask Karen,"" the FSIS virtual representative available 24 hours a day at AskKaren.gov or via smartphone at m.askkaren.gov. The toll-free USDA Meat and Poultry Hotline 1-888-MPHotline (1-888-674-6854) is available in English and Spanish and can be reached from 10 a.m. to 4 p.m. (Eastern Time) Monday through Friday. Recorded food safety messages are available 24 hours a day. The online Electronic Consumer Complaint Monitoring System can be accessed 24 hours a day at: http://www.fsis.usda.gov/reportproblem.

 Label",washington feb 5 2016 marin pasta works san rafael calif establishment recalling approximately 491 pounds pork ravioli products produced benefit federal inspection department agricultures food safety inspection service fsis announced today sausage parmesan spinach ravioli items produced jan 4 2016 feb 4 2016 following products subject recall view label 12ozvacuumpackaged packages containing pieces sausage parm spinach ravioli best dates feb 4 march 4 2016 items distributed retail locations california problem discovered fsis surveillance activities conducted retail store san rafael california confirmed reports adverse reactions consumption products concerned reaction contact healthcare provider consumers purchased products urged consume products thrown away returned place purchase fsis routinely conducts recall effectiveness checks verify recalling firms notify customers recall steps taken make certain product longer available consumers available retail distribution lists posted fsis website wwwfsisusdagovrecalls consumers members media questions recall contact john sarrran owner marin pasta works 877 2632332 ext 310 consumers food safety questions ask karen fsis virtual representative available 24 hours day askkarengov smartphone maskkarengov tollfree usda meat poultry hotline 1888mphotline 18886746854 available english spanish reached 10 4 pm eastern time monday friday recorded food safety messages available 24 hours day online electronic consumer complaint monitoring accessed 24 hours day httpwwwfsisusdagovreportproblem label,inspection issues,marin pasta works recalls pork products produced benefit inspection,pasta products
187,2016,2,5,us,TF Foods Issues Allergy Alert on Undeclared Peanuts in Fried Bean Snack (Na-Pia-Jo),"TF Foods of Paramount, CA is recalling its 10.60 ounce packages of ""Fried Bean Snack (Na-Pia-Jo)"" food treats because they may contain undeclared peanuts. People who have an allergy or severe sensitivity to peanuts run the risk of serious or life-threatening allergic reaction if they consume these products.
The recalled ""Fried Bean Snack (Na-Pia-Jo)"" were distributed nationally in retail stores between November of 2015 and beginning of February of 2016.
The product comes in a 10.60 ounce, clear plastic bag.
No illnesses have been reported to date in connection with this problem.
The recall was initiated after it was discovered that the peanut-containing product was distributed in packaging that did not reveal the presence of peanuts. Subsequent investigation indicates the problem was caused by a change in the company's recipe which added peanuts but not to the labeling of the product.
Sale of the product has been suspended until the company is certain that the problem has been corrected.
Consumers who have purchased 10.60 ounce packages of ""Fried Bean Snack (Na-Pia-Jo)"" are urged to return them to the place of purchase for a full refund. Consumers with questions may contact: John Pantaya at TF Foods, Inc., (562)220-2666 Mon-Fri 10am-4pm P.S.T.",tf foods paramount ca recalling 1060 ounce packages fried bean snack napiajo food treats contain undeclared peanuts people allergy severe sensitivity peanuts run risk lifethreatening allergic reaction consume products recalled fried bean snack napiajo distributed nationally retail stores november 2015 beginning february 2016 product comes 1060 ounce clear plastic bag illnesses reported date connection problem recall initiated discovered peanutcontaining product distributed packaging did reveal presence peanuts subsequent investigation indicates problem caused change companys recipe added peanuts labeling product sale product suspended company certain problem corrected consumers purchased 1060 ounce packages fried bean snack napiajo urged return place purchase refund consumers questions contact john pantaya tf foods 5622202666 monfri 10am4pm pst,peanuts and products thereof,tf foods issues allergy alert undeclared peanuts fried bean snack napiajo,bean snack
188,2016,2,5,uk,Asco Foods Ltd recalls Clover Chips barbecue flavour corn snack,"Asco Foods Ltd is recalling three batches of Leslie’s Clover Chips barbecue flavour corn snack. The product contains milk, which is not mentioned on the ingredients list. The product also contains soya which is not correctly labelled. This means the product is a possible health risk for anyone with an allergy or intolerance to milk or milk constituents and/or an allergy to soya.
Product name: Leslie’s Clover Chips, barbecue flavour corn snack Pack size: 145g ‘Best before’ date: September 2016, October 2016, March 2017
Allergens: milk and soya This product contains milk and soya, making it a possible health risk for anyone who is allergic or is intolerant to milk or milk constituents and/or an allergy to soya.
If you have bought the above product and have an allergy or intolerance to milk or milk constituents and/or an allergy to soya, do not eat it. Instead return it to the store from where it was bought.
Asco Foods Ltd is recalling the product from sale and is contacting the relevant allergy support organisations, which will tell their members about the recall. The company is providing point-of-sale notices to customers supplied, a copy of which can be found at the link below. The affected product will be relabelled with the correct information. No other Leslie’s brand or Asco Foods Ltd products are known to be affected.
If there is a problem with a food product that means it should not be sold, then it might be 'withdrawn' (taken off the shelves) or 'recalled' (when customers are asked to return the product). The FSA issues Product Withdrawal Information Notices and Product Recall Information Notices to let consumers and local authorities know about problems associated with food. In some cases, a 'Food Alert for Action' is issued. This provides local authorities with details of specific action to be taken on behalf of consumers. Get food alerts Subscribe to get alerts by email or SMS text Ref: G/2016",asco foods recalling batches leslies clover chips barbecue flavour corn snack product contains milk mentioned ingredients list product contains soya correctly labelled means product possible health risk allergy intolerance milk milk constituents andor allergy soya product leslies clover chips barbecue flavour corn snack pack size 145g best date september 2016 october 2016 march 2017 allergens milk soya product contains milk soya making possible health risk allergic intolerant milk milk constituents andor allergy soya bought product allergy intolerance milk milk constituents andor allergy soya eat instead return store bought asco foods recalling product sale contacting relevant allergy support organisations tell members recall company providing pointofsale notices customers supplied copy link affected product relabelled correct information leslies brand asco foods products known affected problem food product means sold withdrawn taken shelves recalled customers asked return product fsa issues product withdrawal information notices product recall information notices let consumers local authorities know problems associated food cases food alert action issued provides local authorities details specific action taken behalf consumers food alerts subscribe alerts email sms text ref g2016,milk and products thereof,asco foods recalls clover chips barbecue flavour corn snack,corn
